host_id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability
22000171,52.38054,4.85593,46,1,41,5.67,2,10
13172125,52.39193,4.91269,40,1,59,5.67,2,2
14509904,52.37635,4.89227,120,2,23,5.66,1,0
96300824,52.3422,4.84939,89,1,93,5.66,1,132
4978942,52.37046,4.85705,75,1,115,5.66,2,98
2986709,52.35622,4.88179,75,1,212,5.66,3,261
39110511,52.3656,4.88585,170,2,128,5.65,5,0
41130076,52.35116,4.90498,145,2,156,5.65,2,289
935742,52.36087,4.89559,95,3,526,5.65,1,0
27733078,52.38281,4.88797,75,2,66,5.64,4,44
29968916,52.34226,4.89713,95,1,281,5.64,1,18
1545843,52.36943,4.94238,90,2,58,5.63,1,70
11319500,52.3842,4.88983,110,3,255,5.63,1,223
26990041,52.37298,4.86199,50,2,276,5.63,2,17
25422214,52.38223,4.91253,99,1,288,5.63,2,21
250860077,52.37012,4.9678,70,1,6,5.62,1,6
83684260,52.37254,4.91707,65,2,41,5.62,1,7
93609362,52.35746,4.90192,70,2,62,5.62,3,85
118649405,52.35393,4.87877,125,2,141,5.62,1,90
47626166,52.36602,4.89713,165,1,239,5.62,1,38
19850735,52.36524,4.98391,85,3,320,5.59,1,72
15530883,52.35144,4.85015,85,1,67,5.58,3,146
7270724,52.37779,4.81931,100,1,54,5.57,3,59
156306151,52.3537,4.92182,81,2,94,5.57,1,10
50799724,52.40346,4.90973,65,1,91,5.56,2,15
41141933,52.34614,4.92821,81,1,252,5.56,2,230
336950,52.3695,4.89556,109,1,555,5.56,4,150
159730080,52.32278,4.94541,65,1,37,5.55,1,50
18984484,52.36222,4.89157,120,2,277,5.55,1,181
12348866,52.38337,4.8851,107,1,347,5.55,1,227
221147012,52.36187,4.86172,68,3,24,5.54,1,26
72040780,52.36445,4.88954,115,2,119,5.54,5,59
32266621,52.37731,4.88484,115,3,141,5.54,1,54
1640702,52.35827,4.90181,110,2,23,5.52,3,267
151414609,52.32574,4.94704,52,1,107,5.52,1,58
8920510,52.3702,4.86674,89,2,72,5.51,1,17
15307319,52.36568,4.91178,115,2,333,5.51,1,44
11361246,52.30623,4.97775,40,2,42,5.5,2,17
182909053,52.36794,4.90076,250,2,70,5.5,1,280
22481192,52.37987,4.89168,130,2,146,5.5,1,183
1899420,52.34861,4.87515,69,1,400,5.49,2,107
35394837,52.36537,4.88631,240,1,159,5.48,1,30
4994590,52.35889,4.90774,75,4,314,5.47,1,157
247043432,52.35371,4.85244,150,2,8,5.45,1,0
85428472,52.34733,4.78749,55,1,177,5.45,2,18
221155621,52.36425,4.93287,79,3,35,5.44,1,8
12856622,52.37723,4.87183,95,2,231,5.44,6,289
42405890,52.36291,4.89381,160,2,240,5.44,1,21
16061362,52.36287,4.92692,57,1,264,5.44,1,3
232136059,52.36635,4.90894,200,2,23,5.43,1,193
99309613,52.37383,4.85917,70,1,51,5.43,1,5
4760703,52.36106,4.86718,105,3,98,5.43,2,90
4443157,52.36561,4.84038,59,2,404,5.43,1,205
195624094,52.36663,4.87734,130,2,56,5.42,1,133
11969034,52.36628,4.89615,218,3,136,5.42,21,199
30200994,52.40113,4.91202,58,1,243,5.41,1,0
16894811,52.35811,4.90013,100,3,320,5.41,1,8
7371529,52.38281,4.96689,75,2,375,5.4,1,211
16849504,52.38329,4.78721,89,1,39,5.39,3,241
10783651,52.37875,4.93939,119,2,165,5.39,2,87
52851370,52.35914,4.89453,225,3,33,5.38,1,176
19279371,52.36052,4.86394,35,3,310,5.38,2,8
140775798,52.41176,4.95437,75,2,115,5.37,1,264
7833177,52.36517,4.86671,130,2,119,5.37,1,0
12411847,52.36001,4.89395,105,2,155,5.37,1,2
58175485,52.3677,4.85037,46,3,207,5.37,1,275
4459863,52.37166,4.87072,95,3,299,5.37,1,113
78152639,52.30035,4.99729,47,1,175,5.36,1,276
18415623,52.3497,4.77216,80,3,180,5.36,1,189
130579669,52.37817,4.85644,50,3,121,5.35,2,0
10050589,52.3763,4.89616,175,1,315,5.35,1,258
4296919,52.37146,4.94509,125,1,412,5.34,1,264
23082949,52.34504,4.90785,55,1,16,5.33,3,8
176189500,52.35894,4.89782,100,2,71,5.33,2,111
15260422,52.37452,4.87908,190,2,255,5.33,1,263
4615516,52.36121,4.89155,110,2,398,5.33,1,41
42771234,52.3646,4.90898,55,3,91,5.32,1,175
156606520,52.3805,4.89357,120,1,95,5.32,1,150
146477767,52.35276,4.89482,59,3,104,5.32,1,94
154916100,52.35471,4.84319,85,2,97,5.31,1,171
3586219,52.35762,4.85797,85,2,138,5.31,1,52
596513,52.36888,4.86955,87,3,507,5.31,1,0
38560640,52.3558,4.99774,60,2,245,5.3,2,148
5680826,52.34467,4.90341,115,2,355,5.3,1,114
491939,52.38369,4.87032,70,2,9,5.29,1,75
213328357,52.38197,4.89172,100,1,43,5.29,1,0
162940471,52.37587,4.90017,149,3,83,5.29,2,37
110936275,52.36651,4.90253,140,2,146,5.29,1,2
27733078,52.38325,4.88739,95,2,62,5.28,4,62
22233513,52.40716,4.91485,62,2,279,5.28,1,264
10842732,52.37215,4.89682,120,2,328,5.28,1,282
143659358,52.29022,4.98007,50,1,90,5.27,1,29
76572471,52.37341,4.85326,62,3,118,5.27,3,15
49487736,52.37416,4.899,86,2,218,5.27,1,250
217577916,52.38015,4.8911,100,2,20,5.26,2,239
129536828,52.36339,4.88483,89,1,63,5.26,2,121
46017070,52.3744,4.93595,60,1,227,5.25,2,286
29116854,52.37533,4.8898,150,3,259,5.25,1,32
7261788,52.36014,4.86562,84,2,342,5.25,2,289
67148804,52.34879,4.89939,100,2,190,5.24,1,32
41642643,52.36856,4.89742,75,1,236,5.24,3,67
24702118,52.39208,4.93471,125,1,261,5.24,1,257
